signal_date,execution_date,instrument,side,requested_shares
2022-03-09,2022-03-10,SZ000911,sell,6100
2022-03-09,2022-03-10,SZ000927,sell,13400
2022-03-09,2022-03-10,SZ002005,sell,5000
2022-03-09,2022-03-10,SZ002029,sell,2500
2022-03-09,2022-03-10,SZ002076,sell,12500
2022-03-09,2022-03-10,SZ002102,sell,3300
2022-03-09,2022-03-10,SZ002320,sell,14600
2022-03-09,2022-03-10,SZ002392,sell,16500
2022-03-09,2022-03-10,SZ002423,sell,4600
2022-03-09,2022-03-10,SZ002426,sell,56000
2022-03-09,2022-03-10,SZ002470,sell,125800
2022-03-09,2022-03-10,SZ002473,sell,15100
2022-03-09,2022-03-10,SZ002499,sell,9900
2022-03-09,2022-03-10,SZ002501,sell,36700
2022-03-09,2022-03-10,SZ002618,sell,23000
2022-03-09,2022-03-10,SZ002634,sell,9600
2022-03-09,2022-03-10,SZ002698,sell,5700
2022-03-09,2022-03-10,SZ002724,sell,4200
2022-03-09,2022-03-10,SZ002755,sell,2900
2022-03-09,2022-03-10,SZ300089,sell,9100
2022-03-09,2022-03-10,SZ300103,sell,10000
2022-03-09,2022-03-10,SZ300105,sell,30300
2022-03-09,2022-03-10,SZ300151,sell,3600
2022-03-09,2022-03-10,SZ300312,sell,169400
2022-03-09,2022-03-10,SZ300356,sell,44900
2022-03-09,2022-03-10,SZ300370,sell,15100
2022-03-09,2022-03-10,SZ300486,sell,3600
2022-03-09,2022-03-10,SZ300492,sell,700
2022-03-09,2022-03-10,SZ002259,buy,216900
2022-03-09,2022-03-10,SZ002242,buy,110200
2022-03-09,2022-03-10,SH600229,buy,187700
2022-03-09,2022-03-10,SH601968,buy,122900
2022-03-09,2022-03-10,SH600289,buy,501900
2022-03-09,2022-03-10,SZ002367,buy,126300
2022-03-09,2022-03-10,SZ002780,buy,98400
2022-03-09,2022-03-10,SH600012,buy,47900
2022-03-09,2022-03-10,SH600693,buy,68700
2022-03-09,2022-03-10,SH601998,buy,310700
2022-03-09,2022-03-10,SZ002360,buy,146000
2022-03-09,2022-03-10,SH603300,buy,73100
2022-03-09,2022-03-10,SZ000036,buy,48800
2022-03-09,2022-03-10,SZ002668,buy,112000
2022-03-09,2022-03-10,SZ002228,buy,94000
2022-03-09,2022-03-10,SZ002341,buy,168400
2022-03-09,2022-03-10,SH600568,buy,325500
2022-03-09,2022-03-10,SZ000631,buy,84300
2022-03-09,2022-03-10,SZ002734,buy,87600
2022-03-09,2022-03-10,SZ002168,buy,185900
2022-03-09,2022-03-10,SZ000413,buy,197500
2022-03-09,2022-03-10,SH600834,buy,84600
2022-03-09,2022-03-10,SH601098,buy,213000
2022-03-09,2022-03-10,SZ300257,buy,175700
2022-03-09,2022-03-10,SH603028,buy,97200
2022-03-09,2022-03-10,SZ000700,buy,62900
2022-03-09,2022-03-10,SZ002147,buy,574200
2022-03-09,2022-03-10,SH600269,buy,82700
2022-03-09,2022-03-10,SH600868,buy,139300
2022-03-09,2022-03-10,SZ300256,buy,414800
2022-03-09,2022-03-10,SH603018,buy,158400
2022-03-09,2022-03-10,SH603188,buy,563600
2022-03-09,2022-03-10,SZ002776,buy,442800
2022-03-09,2022-03-10,SZ300400,buy,42500
2022-03-09,2022-03-10,SZ000616,buy,64400
2022-03-09,2022-03-10,SZ002676,buy,183000
2022-03-09,2022-03-10,SH600060,buy,50600
2022-03-09,2022-03-10,SZ000971,buy,287100
2022-03-09,2022-03-10,SH600624,buy,129900
2022-03-09,2022-03-10,SZ300367,buy,373200
2022-03-09,2022-03-10,SZ002486,buy,271200
2022-03-09,2022-03-10,SZ300280,buy,71300
2022-03-09,2022-03-10,SZ002582,buy,274900
2022-03-09,2022-03-10,SH600419,buy,136700
2022-03-09,2022-03-10,SH600894,buy,53000
2022-03-09,2022-03-10,SZ000536,buy,176000
2022-03-09,2022-03-10,SZ000678,buy,129700
2022-03-09,2022-03-10,SH600791,buy,137700
2022-03-09,2022-03-10,SH603609,buy,110300
2022-03-09,2022-03-10,SZ002697,buy,112500
2022-04-08,2022-04-11,SH600012,sell,5700
2022-04-08,2022-04-11,SH600060,sell,10800
2022-04-08,2022-04-11,SH600093,sell,19900
2022-04-08,2022-04-11,SH600112,sell,13600
2022-04-08,2022-04-11,SH600146,sell,18200
2022-04-08,2022-04-11,SH600229,sell,12600
2022-04-08,2022-04-11,SH600260,sell,57200
2022-04-08,2022-04-11,SH600269,sell,19400
2022-04-08,2022-04-11,SH600278,sell,2200
2022-04-08,2022-04-11,SH600289,sell,15700
2022-04-08,2022-04-11,SH600290,sell,8700
2022-04-08,2022-04-11,SH600292,sell,1800
2022-04-08,2022-04-11,SH600419,sell,17900
2022-04-08,2022-04-11,SH600595,sell,2700
2022-04-08,2022-04-11,SH600624,sell,15900
2022-04-08,2022-04-11,SH600652,sell,63200
2022-04-08,2022-04-11,SH600693,sell,1600
2022-04-08,2022-04-11,SH600791,sell,11100
2022-04-08,2022-04-11,SH600834,sell,3100
2022-04-08,2022-04-11,SH600836,sell,1100
2022-04-08,2022-04-11,SH600856,sell,181800
2022-04-08,2022-04-11,SH600881,sell,2000
2022-04-08,2022-04-11,SH600894,sell,11400
2022-04-08,2022-04-11,SH601098,sell,34200
2022-04-08,2022-04-11,SH601968,sell,13000
2022-04-08,2022-04-11,SH601998,sell,78600
2022-04-08,2022-04-11,SH603018,sell,17700
2022-04-08,2022-04-11,SH603028,sell,17400
2022-04-08,2022-04-11,SH603188,sell,24700
2022-04-08,2022-04-11,SH603300,sell,9600
2022-04-08,2022-04-11,SH603609,sell,10300
2022-04-08,2022-04-11,SZ000036,sell,3800
2022-04-08,2022-04-11,SZ000413,sell,21400
2022-04-08,2022-04-11,SZ000536,sell,7000
2022-04-08,2022-04-11,SZ000541,sell,1900
2022-04-08,2022-04-11,SZ000616,sell,2700
2022-04-08,2022-04-11,SZ000631,sell,1800
2022-04-08,2022-04-11,SZ000678,sell,15800
2022-04-08,2022-04-11,SZ000687,sell,27000
2022-04-08,2022-04-11,SZ000971,sell,12800
2022-04-08,2022-04-11,SZ002029,sell,100
2022-04-08,2022-04-11,SZ002102,sell,700
2022-04-08,2022-04-11,SZ002168,sell,11700
2022-04-08,2022-04-11,SZ002228,sell,15200
2022-04-08,2022-04-11,SZ002242,sell,24000
2022-04-08,2022-04-11,SZ002320,sell,1900
2022-04-08,2022-04-11,SZ002341,sell,23400
2022-04-08,2022-04-11,SZ002360,sell,10200
2022-04-08,2022-04-11,SZ002367,sell,7800
2022-04-08,2022-04-11,SZ002426,sell,500
2022-04-08,2022-04-11,SZ002470,sell,60200
2022-04-08,2022-04-11,SZ002486,sell,21600
2022-04-08,2022-04-11,SZ002501,sell,17300
2022-04-08,2022-04-11,SZ002582,sell,11500
2022-04-08,2022-04-11,SZ002618,sell,17900
2022-04-08,2022-04-11,SZ002668,sell,3400
2022-04-08,2022-04-11,SZ002676,sell,23900
2022-04-08,2022-04-11,SZ002697,sell,16600
2022-04-08,2022-04-11,SZ002734,sell,4500
2022-04-08,2022-04-11,SZ002776,sell,91300
2022-04-08,2022-04-11,SZ002780,sell,6200
2022-04-08,2022-04-11,SZ300256,sell,32900
2022-04-08,2022-04-11,SZ300257,sell,18900
2022-04-08,2022-04-11,SZ300280,sell,15200
2022-04-08,2022-04-11,SZ300312,sell,148800
2022-04-08,2022-04-11,SZ300356,sell,32700
2022-04-08,2022-04-11,SZ300367,sell,24100
2022-04-08,2022-04-11,SZ300400,sell,3600
2022-04-08,2022-04-11,SZ002698,buy,127100
2022-04-08,2022-04-11,SZ002147,buy,611000
2022-04-08,2022-04-11,SH600532,buy,69500
2022-04-08,2022-04-11,SZ300089,buy,318400
2022-04-08,2022-04-11,SZ002113,buy,196700
2022-04-08,2022-04-11,SH600311,buy,541900
2022-04-08,2022-04-11,SZ000032,buy,70200
2022-04-08,2022-04-11,SZ002556,buy,122200
2022-04-08,2022-04-11,SH600221,buy,178500
2022-04-08,2022-04-11,SZ000700,buy,62300
2022-04-08,2022-04-11,SZ002321,buy,1012700
2022-04-08,2022-04-11,SZ002259,buy,229900
2022-04-08,2022-04-11,SZ300370,buy,341000
2022-04-08,2022-04-11,SH600203,buy,126300
2022-04-08,2022-04-11,SH600666,buy,262000
2022-04-08,2022-04-11,SH603989,buy,103400
2022-04-08,2022-04-11,SZ002552,buy,114300
2022-04-08,2022-04-11,SH600400,buy,89600
2022-04-08,2022-04-11,SZ000752,buy,258300
2022-04-08,2022-04-11,SZ000669,buy,411800
2022-04-08,2022-04-11,SZ002504,buy,1102700
2022-04-08,2022-04-11,SH600568,buy,301500
2022-04-08,2022-04-11,SZ000673,buy,269600
2022-04-08,2022-04-11,SZ300066,buy,162700
2022-04-08,2022-04-11,SZ000703,buy,31300
2022-04-08,2022-04-11,SZ000606,buy,422000
2022-04-08,2022-04-11,SZ002380,buy,410600
2022-04-08,2022-04-11,SZ300145,buy,151400
2022-04-08,2022-04-11,SH603022,buy,179900
2022-04-08,2022-04-11,SZ000410,buy,123300
2022-04-08,2022-04-11,SZ002519,buy,222000
2022-04-08,2022-04-11,SZ300232,buy,53800
2022-04-08,2022-04-11,SH600288,buy,123700
2022-04-08,2022-04-11,SZ002401,buy,134500
2022-04-08,2022-04-11,SZ000727,buy,220000
2022-04-08,2022-04-11,SZ002021,buy,143400
2022-04-08,2022-04-11,SZ002792,buy,194400
2022-04-08,2022-04-11,SH600226,buy,57300
2022-04-08,2022-04-11,SH600987,buy,43700
2022-04-08,2022-04-11,SZ002076,buy,397900
2022-04-08,2022-04-11,SZ300329,buy,141100
2022-04-08,2022-04-11,SH600816,buy,43400
2022-04-08,2022-04-11,SZ300455,buy,58300
2022-04-08,2022-04-11,SZ300489,buy,96300
2022-04-08,2022-04-11,SZ000685,buy,37300
2022-04-08,2022-04-11,SH603328,buy,249300
2022-04-08,2022-04-11,SZ002778,buy,104000
2022-04-08,2022-04-11,SZ000890,buy,172200
2022-04-08,2022-04-11,SH600868,buy,127200
2022-04-08,2022-04-11,SZ002656,buy,374300
2022-05-11,2022-05-12,SH600060,sell,400
2022-05-11,2022-05-12,SH600112,sell,2900
2022-05-11,2022-05-12,SH600203,sell,7600
2022-05-11,2022-05-12,SH600221,sell,81200
2022-05-11,2022-05-12,SH600226,sell,11500
2022-05-11,2022-05-12,SH600260,sell,16100
2022-05-11,2022-05-12,SH600269,sell,4200
2022-05-11,2022-05-12,SH600288,sell,13100
2022-05-11,2022-05-12,SH600289,sell,8400
2022-05-11,2022-05-12,SH600311,sell,9800
2022-05-11,2022-05-12,SH600400,sell,7700
2022-05-11,2022-05-12,SH600419,sell,4300
2022-05-11,2022-05-12,SH600624,sell,3000
2022-05-11,2022-05-12,SH600666,sell,3800
2022-05-11,2022-05-12,SH600816,sell,4800
2022-05-11,2022-05-12,SH600868,sell,26500
2022-05-11,2022-05-12,SH600987,sell,2500
2022-05-11,2022-05-12,SH601968,sell,5800
2022-05-11,2022-05-12,SH603022,sell,4600
2022-05-11,2022-05-12,SH603028,sell,2200
2022-05-11,2022-05-12,SH603300,sell,2400
2022-05-11,2022-05-12,SH603328,sell,17600
2022-05-11,2022-05-12,SH603989,sell,16100
2022-05-11,2022-05-12,SH603996,sell,2800
2022-05-11,2022-05-12,SZ000032,sell,10900
2022-05-11,2022-05-12,SZ000410,sell,8100
2022-05-11,2022-05-12,SZ000541,sell,400
2022-05-11,2022-05-12,SZ000606,sell,13100
2022-05-11,2022-05-12,SZ000678,sell,4900
2022-05-11,2022-05-12,SZ000685,sell,6300
2022-05-11,2022-05-12,SZ000700,sell,6300
2022-05-11,2022-05-12,SZ000703,sell,13300
2022-05-11,2022-05-12,SZ000727,sell,35000
2022-05-11,2022-05-12,SZ000890,sell,4400
2022-05-11,2022-05-12,SZ002021,sell,11100
2022-05-11,2022-05-12,SZ002076,sell,22000
2022-05-11,2022-05-12,SZ002228,sell,5300
2022-05-11,2022-05-12,SZ002321,sell,48300
2022-05-11,2022-05-12,SZ002341,sell,9200
2022-05-11,2022-05-12,SZ002401,sell,31200
2022-05-11,2022-05-12,SZ002552,sell,4700
2022-05-11,2022-05-12,SZ002556,sell,39200
2022-05-11,2022-05-12,SZ002676,sell,7800
2022-05-11,2022-05-12,SZ002698,sell,7300
2022-05-11,2022-05-12,SZ002734,sell,700
2022-05-11,2022-05-12,SZ002792,sell,11100
2022-05-11,2022-05-12,SZ300066,sell,14700
2022-05-11,2022-05-12,SZ300089,sell,4600
2022-05-11,2022-05-12,SZ300232,sell,10300
2022-05-11,2022-05-12,SZ300257,sell,1300
2022-05-11,2022-05-12,SZ300280,sell,1600
2022-05-11,2022-05-12,SZ300329,sell,13500
2022-05-11,2022-05-12,SZ300356,sell,13100
2022-05-11,2022-05-12,SZ300370,sell,22600
2022-05-11,2022-05-12,SZ300455,sell,7400
2022-05-11,2022-05-12,SZ300489,sell,4500
2022-05-11,2022-05-12,SZ002499,buy,1003600
2022-05-11,2022-05-12,SZ000752,buy,338100
2022-05-11,2022-05-12,SZ002200,buy,652500
2022-05-11,2022-05-12,SZ002086,buy,279400
2022-05-11,2022-05-12,SZ300492,buy,29000
2022-05-11,2022-05-12,SZ002656,buy,415700
2022-05-11,2022-05-12,SH600290,buy,431600
2022-05-11,2022-05-12,SH600589,buy,771000
2022-05-11,2022-05-12,SZ000587,buy,166000
2022-05-11,2022-05-12,SZ300145,buy,140200
2022-05-11,2022-05-12,SZ002380,buy,481300
2022-05-11,2022-05-12,SZ000609,buy,185200
2022-05-11,2022-05-12,SZ002504,buy,1014700
2022-05-11,2022-05-12,SH600568,buy,322000
2022-05-11,2022-05-12,SZ002399,buy,624400
2022-05-11,2022-05-12,SZ000020,buy,155000
2022-05-11,2022-05-12,SZ002107,buy,92200
2022-05-11,2022-05-12,SZ002519,buy,232900
2022-05-11,2022-05-12,SZ300187,buy,176200
2022-05-11,2022-05-12,SH603999,buy,232800
2022-05-11,2022-05-12,SZ000802,buy,193800
2022-05-11,2022-05-12,SZ000669,buy,524900
2022-05-11,2022-05-12,SZ002113,buy,231000
2022-05-11,2022-05-12,SZ002358,buy,258700
2022-05-11,2022-05-12,SZ002005,buy,386300
2022-05-11,2022-05-12,SZ002081,buy,24500
2022-05-11,2022-05-12,SZ000055,buy,121200
2022-05-11,2022-05-12,SZ000698,buy,144000
2022-05-11,2022-05-12,SH600881,buy,107300
2022-05-11,2022-05-12,SZ002440,buy,137400
2022-05-11,2022-05-12,SZ002058,buy,93000
2022-05-11,2022-05-12,SH600651,buy,160700
2022-05-11,2022-05-12,SZ300206,buy,114300
2022-05-11,2022-05-12,SH600643,buy,107500
2022-05-11,2022-05-12,SZ002259,buy,267900
2022-05-11,2022-05-12,SZ000005,buy,326800
2022-05-11,2022-05-12,SZ002393,buy,488000
2022-05-11,2022-05-12,SH600229,buy,201000
2022-05-11,2022-05-12,SH600329,buy,87000
2022-05-11,2022-05-12,SZ002188,buy,510700
2022-05-11,2022-05-12,SZ002755,buy,133000
2022-05-11,2022-05-12,SZ000971,buy,299800
2022-05-11,2022-05-12,SH600567,buy,192500
2022-05-11,2022-05-12,SZ002609,buy,103100
2022-05-11,2022-05-12,SH603828,buy,316100
2022-05-11,2022-05-12,SZ300030,buy,236700
2022-05-11,2022-05-12,SZ000868,buy,70300
2022-05-11,2022-05-12,SZ002778,buy,129500
2022-05-11,2022-05-12,SZ300246,buy,152200
2022-05-11,2022-05-12,SH603309,buy,120000
2022-06-09,2022-06-10,SH600093,sell,6800
2022-06-09,2022-06-10,SH600221,sell,38000
2022-06-09,2022-06-10,SH600288,sell,3100
2022-06-09,2022-06-10,SH600289,sell,2800
2022-06-09,2022-06-10,SH600290,sell,11500
2022-06-09,2022-06-10,SH600329,sell,14700
2022-06-09,2022-06-10,SH600651,sell,11200
2022-06-09,2022-06-10,SH600652,sell,52800
2022-06-09,2022-06-10,SH600868,sell,10600
2022-06-09,2022-06-10,SH600881,sell,11400
2022-06-09,2022-06-10,SH603022,sell,1600
2022-06-09,2022-06-10,SH603309,sell,12400
2022-06-09,2022-06-10,SH603328,sell,4400
2022-06-09,2022-06-10,SH603828,sell,30900
2022-06-09,2022-06-10,SH603989,sell,3900
2022-06-09,2022-06-10,SH603999,sell,12600
2022-06-09,2022-06-10,SZ000005,sell,8900
2022-06-09,2022-06-10,SZ000020,sell,2500
2022-06-09,2022-06-10,SZ000032,sell,1900
2022-06-09,2022-06-10,SZ000055,sell,8900
2022-06-09,2022-06-10,SZ000410,sell,2600
2022-06-09,2022-06-10,SZ000606,sell,3900
2022-06-09,2022-06-10,SZ000609,sell,4000
2022-06-09,2022-06-10,SZ000669,sell,88400
2022-06-09,2022-06-10,SZ000687,sell,7600
2022-06-09,2022-06-10,SZ000698,sell,5600
2022-06-09,2022-06-10,SZ000700,sell,600
2022-06-09,2022-06-10,SZ000727,sell,11500
2022-06-09,2022-06-10,SZ000752,sell,9300
2022-06-09,2022-06-10,SZ000802,sell,1900
2022-06-09,2022-06-10,SZ000868,sell,5900
2022-06-09,2022-06-10,SZ000890,sell,1100
2022-06-09,2022-06-10,SZ002005,sell,12100
2022-06-09,2022-06-10,SZ002021,sell,4200
2022-06-09,2022-06-10,SZ002058,sell,3000
2022-06-09,2022-06-10,SZ002076,sell,600
2022-06-09,2022-06-10,SZ002086,sell,38600
2022-06-09,2022-06-10,SZ002107,sell,9700
2022-06-09,2022-06-10,SZ002113,sell,15900
2022-06-09,2022-06-10,SZ002147,sell,72000
2022-06-09,2022-06-10,SZ002188,sell,26000
2022-06-09,2022-06-10,SZ002200,sell,26700
2022-06-09,2022-06-10,SZ002259,sell,16000
2022-06-09,2022-06-10,SZ002321,sell,9400
2022-06-09,2022-06-10,SZ002358,sell,33500
2022-06-09,2022-06-10,SZ002380,sell,27700
2022-06-09,2022-06-10,SZ002393,sell,58100
2022-06-09,2022-06-10,SZ002399,sell,461800
2022-06-09,2022-06-10,SZ002401,sell,23800
2022-06-09,2022-06-10,SZ002440,sell,16700
2022-06-09,2022-06-10,SZ002499,sell,23500
2022-06-09,2022-06-10,SZ002504,sell,51700
2022-06-09,2022-06-10,SZ002519,sell,20800
2022-06-09,2022-06-10,SZ002552,sell,1700
2022-06-09,2022-06-10,SZ002556,sell,26200
2022-06-09,2022-06-10,SZ002609,sell,15500
2022-06-09,2022-06-10,SZ002656,sell,45500
2022-06-09,2022-06-10,SZ002676,sell,300
2022-06-09,2022-06-10,SZ002698,sell,2200
2022-06-09,2022-06-10,SZ002755,sell,4700
2022-06-09,2022-06-10,SZ002778,sell,7200
2022-06-09,2022-06-10,SZ002792,sell,1200
